0ad,com.play0ad.zeroad
image-optimizer,com.github.gijsgoudzwaard.image-optimizer
inkscape,org.inkscape.Inkscape
insomnia,rest.insomnia.Insomnia
intellij-idea-community,com.jetbrains.IntelliJ-IDEA-Community
intellij-idea-ultimate,com.jetbrains.IntelliJ-IDEA-Ultimate
iplan,ir.imansalmani.IPlan
irccloud,com.irccloud
itrue-kicad,org.kicad.KiCad
jabref,org.jabref.jabref
jami,net.jami.Jami
jami-gnome,net.jami.Jami
jellyfinmediaplayer,com.github.iwalton3.jellyfin-media-player
john-the-ripper,com.openwall.John
joplin-desktop,net.cozic.joplin_desktop
josm,org.openstreetmap.josm
juk,org.kde.juk
kalgebra,org.kde.kalgebra
kalzium,org.kde.kalzium
kanagram,org.kde.kanagram
kapman,org.kde.kapman
kasts,org.kde.kasts
kate,org.kde.kate
katomic,org.kde.katomic
kblackbox,org.kde.kblackbox
kblocks,org.kde.kblocks
kbounce,org.kde.kbounce
kbreakout,org.kde.kbreakout
kbruch,org.kde.kbrunch
kcachegrind,org.kde.kcachegrind
kcalc,org.kde.kcalc
kcolorchooser,org.kde.kcolorchooser
kdenlive,org.kde.kdenlive
kdevelop,org.kde.kdevelop
kdf,org.kde.kdf
kdiamond,org.kde.kdiamond
keepassxc,org.keepassxc.KeePassXC
kfind,org.kde.kfind
kfourinline,org.kde.kfourinline
kgeography,org.kde.kgeography
kgeotag,org.kde.kgeotag
kgoldrunner,org.kde.kgoldrunner
khangman,org.kde.khangman
kid3,org.kde.kid3
kig,org.kde.kig
kigo,org.kde.kigo
killbots,org.kde.killbots
kiriki,org.kde.kiriki
kiten,org.kde.kiten
kjumpingcube,org.kde.kjumpingcube
klettres,org.kde.klettres
klickety,org.kde.klickety
klines,org.kde.klines
kmag,org.kde.kmag
kmahjongg,org.kde.kmahjongg
kmines,org.kde.kmines
kmousetool,kde.org.kmousetool
kmplot,org.kde.kmplot
knavalbattle,org.kde.knavalbattle
knetwalk,org.kde.knetwalk
knights,org.kde.knights
kollision,org.kde.kollision
kolourpaint,org.kde.kolourpaint
kompare,org.kde.kompare
konquest,org.kde.konquest
konsole,org.kde.konsole
kontrast,org.kde.kontrast
konversation,org.kde.konversation
kpat,org.kde.kpat
kphotoalbum,org.kde.kphotoalbum
krdc,org.kde.krdc
kreversi,org.kde.kreversi
krita,org.kde.krita
kruler,org.kde.kruler
ksirk,org.kde.ksirk
ksnakeduel,org.kde.ksnakeduel
ksnip,org.ksnip.ksnip
kspaceduel,org.kde.kspaceduel
ksquares,org.kde.ksquares
kstars,org.kde.ktouch
ksudoku,org.kde.ksudoku
kteatime,org.kde.kteatime
ktimer,org.kde.ktimer
ktouch,org.kde.ktouch
ktuberling,org.kde.ktuberling
kturtle,org.kde.kturtle
kubrick,org.kde.kubrick
kwave,org.kde.kwave
kweather,org.kde.kweather
kwordquiz,org.kde.kwordquiz
labplot,org.kde.labplot
lbry,io.lbry.lbry-app
leocad,org.leocad.LeoCAD
libreoffice,org.libreoffice.LibreOffice
librepcb,org.librepcb.LibrePCB
liferea,net.sourceforge.liferea
lightsoff,org.gnome.LightsOff
logarithmplotter,eu.ad5001.LogarithmPlotter
logisim-evolution,com.github.reds.LogisimEvolution
lokalize,org.kde.lokalize
love2d,org.love2d.love2d
lpub3d,io.github.trevorsandy.LPub3D
lskat,org.kde.lskat
lunacy,com.icons8.Lunacy
mailspring,com.getmailspring.Mailspring
makemkv,com.makemkv.MakeMKV
makhber,com.github.makhber.Makhber
manuskript,ch.theologeek.Manuskript
marker,com.github.fabiocolacio.marker
marktext,com.github.marktext.marktext
marsshooter,net.sourceforge.mars-game
massif-visualizer,org.kde.massif-visualizer
materialmaker,io.github.RodZill4.Material-Maker
mattermost-desktop,com.mattermost.Desktop
mcomix-tabetai,net.sourceforge.mcomix 
messenger-gtk,org.gnunet.Messenger
midnightmareteddy,com.endlessnetwork.MidnightmareTeddy
mindustry,com.github.Anuken.Mindustry
minetest,net.minetest.Minetest
minuet,org.kde.minuet
missilemath,com.endlessnetwork.missilemath
mixin-desktop,one.mixin.messenger
mkvtoolnix-jz,org.bunkus.mkvtoolnix-gui
mmex,org.moneymanagerex.MMEX
monophony,io.gitlab.zehkira.Monophony
moonlight,com.moonlight_stream.Moonlight
moosync,app.moosync.moosync
mousam,io.github.amit9838.weather
mqttx,com.emqx.MQTTX
mrrescue,dk.tangramgames.mrrescue
muezzin,io.github.dbchoco.muezzin
mumble,info.mumble.Mumble
musescore,org.musescore.MuseScore
